2022-02-09 22:43:26,564 || ERROR || Thread 1: Did not receive a reply from server in 10 seconds. Initating Heartbeat || __main__
2022-02-09 22:47:32,282 || INFO || Thread 1: Client successfully connected to Server at 127.0.0.1:12345 || __main__
2022-02-09 22:47:32,282 || INFO || Thread 1: Client sent data: b'This is Client Request Data' || __main__
2022-02-09 22:47:32,283 || INFO || Thread 1: Successful Tx/Rx. Client sent: 'b'This is Client Request Data'' Server replied: 'This is Server Reply Data' || __main__
2022-02-09 22:47:37,288 || INFO || Thread 1: Client sent data: b'This is Client Request Data' || __main__
2022-02-09 22:47:37,288 || INFO || Thread 1: Successful Tx/Rx. Client sent: 'b'This is Client Request Data'' Server replied: 'This is Server Reply Data' || __main__
2022-02-09 22:47:42,297 || INFO || Thread 1: Client sent data: b'This is Client Request Data' || __main__
2022-02-09 22:47:42,297 || INFO || Thread 1: Successful Tx/Rx. Client sent: 'b'This is Client Request Data'' Server replied: 'This is Server Reply Data' || __main__
2022-02-09 22:48:06,859 || INFO || Thread 1: Client successfully connected to Server at 127.0.0.1:12345 || __main__
2022-02-09 22:48:06,859 || INFO || Thread 1: Client sent data: b'This is Client Request Data' || __main__
2022-02-09 22:48:16,864 || ERROR || Thread 1: Did not receive a reply from server in 10 seconds. Initating Heartbeat || __main__
2022-02-10 22:46:51,066 || INFO || Thread 1: Client successfully connected to Server at 127.0.0.1:12345 || __main__
2022-02-10 22:46:51,067 || INFO || Thread 1: Client sent data: b'This is Client Data' || __main__
2022-02-10 22:47:01,068 || ERROR || Thread 1: Did not receive a reply from server in 10 seconds. Initating Heartbeat || __main__
2022-02-10 22:48:06,120 || INFO || Thread 1: Client successfully connected to Server at 127.0.0.1:12345 || __main__
2022-02-10 22:48:06,120 || INFO || Thread 1: Client sent data: b'This is Client Data' || __main__
2022-02-10 22:48:16,130 || ERROR || Thread 1: Did not receive a reply from server in 10 seconds. Initating Heartbeat || __main__
2022-02-10 22:49:52,018 || INFO || Thread 1: Client successfully connected to Server at 127.0.0.1:12345 || __main__
2022-02-10 22:49:52,018 || INFO || Thread 1: Client sent data: b'This is Client Data' || __main__
2022-02-10 22:50:02,020 || ERROR || Thread 1: Did not receive a reply from server in 10 seconds. Initating Heartbeat || __main__
2022-02-11 20:08:55,897 || INFO || Thread 1: Client successfully connected to Server at 127.0.0.1:12345 || __main__
2022-02-11 20:08:55,898 || INFO || Thread 1: Client sent data: b'CLIENT_DATA_MESSAGE' || __main__
2022-02-11 20:08:55,898 || INFO || Thread 1: Successful Tx/Rx. Client sent: 'b'CLIENT_DATA_MESSAGE'' Server replied: 'SERVER_DATA_REPLY' || __main__
2022-02-11 20:09:00,911 || INFO || Thread 1: Client sent data: b'CLIENT_DATA_MESSAGE' || __main__
2022-02-11 20:09:00,911 || INFO || Thread 1: Successful Tx/Rx. Client sent: 'b'CLIENT_DATA_MESSAGE'' Server replied: 'SERVER_DATA_REPLY' || __main__
2022-02-11 20:09:05,917 || INFO || Thread 1: Client sent data: b'CLIENT_DATA_MESSAGE' || __main__
2022-02-11 20:09:05,917 || INFO || Thread 1: Successful Tx/Rx. Client sent: 'b'CLIENT_DATA_MESSAGE'' Server replied: 'SERVER_DATA_REPLY' || __main__
2022-02-11 20:09:10,931 || INFO || Thread 1: Client sent data: b'CLIENT_DATA_MESSAGE' || __main__
2022-02-11 20:09:10,931 || INFO || Thread 1: Successful Tx/Rx. Client sent: 'b'CLIENT_DATA_MESSAGE'' Server replied: 'SERVER_DATA_REPLY' || __main__
2022-02-11 20:09:15,933 || INFO || Thread 1: Client sent data: b'CLIENT_DATA_MESSAGE' || __main__
2022-02-11 20:09:15,933 || INFO || Thread 1: Successful Tx/Rx. Client sent: 'b'CLIENT_DATA_MESSAGE'' Server replied: 'SERVER_DATA_REPLY' || __main__
2022-02-11 20:09:20,943 || INFO || Thread 1: Client sent data: b'CLIENT_DATA_MESSAGE' || __main__
2022-02-11 20:09:20,944 || INFO || Thread 1: Successful Tx/Rx. Client sent: 'b'CLIENT_DATA_MESSAGE'' Server replied: 'SERVER_DATA_REPLY' || __main__
2022-02-11 20:09:25,946 || INFO || Thread 1: Client sent data: b'CLIENT_DATA_MESSAGE' || __main__
