2022-02-20 08:20:22,742 || INFO || Thread 2: Client sent heartbeat: b'MSG_HEARTBEAT' || __main__
2022-02-20 08:20:23,743 || INFO || Thread 2: Successful Tx/Rx. Client sent: 'b'MSG_HEARTBEAT'' Server replied: 'MSG_HEARTBEAT' || __main__
2022-02-20 08:20:28,760 || INFO || Thread 2: Client sent heartbeat: b'MSG_HEARTBEAT' || __main__
2022-02-20 08:20:28,761 || INFO || Thread 2: Successful Tx/Rx. Client sent: 'b'MSG_HEARTBEAT'' Server replied: 'MSG_HEARTBEAT' || __main__
2022-02-20 08:22:00,170 || INFO || Thread 1: Client successfully connected to Server at 127.0.0.1:12345 || __main__
2022-02-20 08:22:00,170 || INFO || Thread 1: Client sent data: b'CLIENT_DATA_MESSAGE' || __main__
2022-02-20 08:22:00,170 || INFO || Thread 1: Successful Tx/Rx. Client sent: 'b'CLIENT_DATA_MESSAGE'' Server replied: 'SERVER_DATA_REPLY' || __main__
2022-02-20 08:22:10,188 || INFO || Thread 1: Client sent data: b'CLIENT_DATA_MESSAGE' || __main__
2022-02-20 08:22:10,188 || INFO || Thread 1: Successful Tx/Rx. Client sent: 'b'CLIENT_DATA_MESSAGE'' Server replied: 'SERVER_DATA_REPLY' || __main__
2022-02-20 08:23:56,409 || INFO || Thread 1: Client successfully connected to Server at 127.0.0.1:12345 || __main__
2022-02-20 08:23:56,409 || INFO || Thread 1: Client sent data: b'CLIENT_DATA_MESSAGE' || __main__
2022-02-20 08:23:56,410 || INFO || Thread 1: Successful Tx/Rx. Client sent: 'b'CLIENT_DATA_MESSAGE'' Server replied: 'SERVER_DATA_REPLY' || __main__
2022-02-20 08:24:06,415 || INFO || Thread 1: Client sent data: b'CLIENT_DATA_MESSAGE' || __main__
2022-02-20 08:24:06,415 || INFO || Thread 1: Successful Tx/Rx. Client sent: 'b'CLIENT_DATA_MESSAGE'' Server replied: 'SERVER_DATA_REPLY' || __main__
2022-02-20 08:24:16,426 || INFO || Thread 1: Client sent data: b'CLIENT_DATA_MESSAGE' || __main__
2022-02-20 08:24:16,426 || INFO || Thread 1: Successful Tx/Rx. Client sent: 'b'CLIENT_DATA_MESSAGE'' Server replied: 'SERVER_DATA_REPLY' || __main__
2022-02-20 08:24:26,435 || INFO || Thread 1: Client sent data: b'CLIENT_DATA_MESSAGE' || __main__
2022-02-20 08:24:26,435 || INFO || Thread 1: Successful Tx/Rx. Client sent: 'b'CLIENT_DATA_MESSAGE'' Server replied: 'SERVER_DATA_REPLY' || __main__
2022-02-20 08:24:36,442 || INFO || Thread 1: Client sent data: b'CLIENT_DATA_MESSAGE' || __main__
2022-02-20 08:24:36,442 || INFO || Thread 1: Successful Tx/Rx. Client sent: 'b'CLIENT_DATA_MESSAGE'' Server replied: 'SERVER_DATA_REPLY' || __main__
